X,Y,Peak
352,79,162.6859893798828
799,96,87.84854888916016
683,393,30.2620792388916
1107,630,25.023054122924805
416,807,21.987533569335938
593,603,21.780853271484375
914,586,19.872798919677734
259,534,19.206878662109375
542,1124,19.205432891845703
249,943,19.197912216186523
522,276,18.83768653869629
441,413,18.670278549194336
336,904,18.259872436523438
337,688,17.692630767822266
138,815,17.356094360351562
481,751,17.289413452148438
1182,585,16.106781005859375
477,597,16.049413681030273
376,611,15.975851058959961
861,655,15.12783145904541
133,836,14.329237937927246
210,766,14.120945930480957
758,177,13.360177993774414
294,350,13.1112642288208
673,1133,13.093127250671387
437,684,12.543776512145996
491,1179,12.483546257019043
613,777,12.265223503112793
1058,407,12.064432144165039
261,766,11.598172187805176
803,578,11.559196472167969
1011,377,11.302603721618652
733,358,11.137338638305664
570,737,10.758360862731934
83,1121,10.445785522460938
1053,646,9.196395874023438
592,667,9.170802116394043
281,706,8.522422790527344
284,785,8.456783294677734
559,672,8.456771850585938
210,32,8.352652549743652
328,551,8.319302558898926
468,946,8.237931251525879
461,801,8.199361801147461
589,827,7.89116907119751
768,336,7.778668403625488
66,124,7.77241849899292
896,117,7.422028541564941
686,586,7.355177879333496
660,655,6.8960723876953125
499,788,6.82340669631958
576,399,6.772598743438721
347,247,6.503342628479004
390,1008,6.503085613250732
864,269,5.6633992195129395
665,355,5.371026515960693
218,878,5.027536869049072
133,856,4.783790588378906
635,694,4.728387355804443
459,634,4.475296497344971
645,734,4.469454765319824
759,90,3.857388734817505
325,940,3.7422852516174316
784,478,3.681178331375122
487,188,3.4704971313476562
331,836,3.4544882774353027
524,579,3.417797088623047
1001,566,3.3824222087860107
359,919,3.204315185546875
562,827,3.1822805404663086
1047,540,3.1445302963256836
606,355,3.1438498497009277
688,986,3.078209161758423
678,457,3.0158302783966064
249,608,2.954808473587036
1003,110,2.942293405532837
855,430,2.914686918258667
623,438,2.856322765350342
258,305,2.686823844909668
179,500,2.5956273078918457
610,522,2.3453209400177
907,1151,2.1400468349456787
664,532,2.1268110275268555
974,126,2.115823745727539
285,500,2.079810857772827
228,1057,2.042482614517212
1135,562,2.0384361743927
480,908,1.9433104991912842
667,715,1.9417532682418823
835,62,1.892081379890442
70,232,1.8789392709732056
670,106,1.7498890161514282
838,1052,1.740515947341919
286,805,1.6779848337173462
81,564,1.6507338285446167
821,984,1.647931456565857
795,116,1.6424479484558105
819,99,1.6265262365341187
797,149,1.613762617111206
181,904,1.6018099784851074
